"year","state","county","D","O","R","total"
"2000","INDIANA","CLARK",17360,559,19417,37336
"2000","INDIANA","CLAY",3605,160,6393,10158
"2000","INDIANA","CLINTON",3643,207,7141,10991
"2000","INDIANA","CRAWFORD",1817,65,2327,4209
"2000","INDIANA","DAVIESS",2697,192,6872,9761
"2000","INDIANA","DEARBORN",6020,178,11452,17650
"2000","INDIANA","DECATUR",2889,167,6115,9171
"2000","INDIANA","DEKALB",4776,308,8701,13785
"2000","INDIANA","DELAWARE",20876,1166,22105,44147
"2000","INDIANA","DUBOIS",5090,280,10134,15504
"2000","INDIANA","ELKHART",16402,1324,36756,54482
"2000","INDIANA","FAYETTE",3415,172,5060,8647
"2000","INDIANA","FLOYD",13209,335,16486,30030
"2000","INDIANA","FOUNTAIN",2717,156,4408,7281
"2000","INDIANA","FRANKLIN",2591,161,5587,8339
"2000","INDIANA","FULTON",2960,149,5218,8327
"2000","INDIANA","GIBSON",5802,236,7734,13772
"2000","INDIANA","GRANT",9712,521,16153,26386
"2000","INDIANA","GREENE",4898,269,7452,12619
"2000","INDIANA","HAMILTON",18002,1552,56372,75926
"2000","INDIANA","HANCOCK",6503,504,15943,22950
"2000","INDIANA","HARRISON",5870,315,8711,14896
"2000","INDIANA","HENDRICKS",10786,784,28651,40221
"2000","INDIANA","HENRY",7647,347,10321,18315
"2000","INDIANA","HOWARD",12899,865,20331,34095
"2000","INDIANA","HUNTINGTON",4119,388,10113,14620
"2000","INDIANA","JACKSON",5330,218,9054,14602
"2000","INDIANA","JASPER",3744,211,7212,11167
"2000","INDIANA","JAY",3167,176,4687,8030
"2000","INDIANA","JEFFERSON",5117,232,6582,11931
"2000","INDIANA","JENNINGS",3549,213,5732,9494
"2000","INDIANA","JOHNSON",11952,928,29404,42284
"2000","INDIANA","KNOX",6300,269,8485,15054
"2000","INDIANA","KOSCIUSKO",5785,459,19040,25284
"2000","INDIANA","LAGRANGE",2733,163,5437,8333
"2000","INDIANA","LAKE",109078,3527,63389,175994
"2000","INDIANA","LAPORTE",19736,1017,18994,39747
"2000","INDIANA","LAWRENCE",5071,394,10677,16142
"2000","INDIANA","MADISON",23403,857,27956,52216
"2000","INDIANA","MARION",134189,7904,137810,279903
"2000","INDIANA","MARSHALL",5541,343,10266,16150
"2000","INDIANA","MARTIN",1518,83,3008,4609
"2000","INDIANA","MIAMI",4155,372,8401,12928
"2000","INDIANA","MONROE",17523,3550,19147,40220
"2000","INDIANA","MONTGOMERY",3899,311,8891,13101
"2000","INDIANA","MORGAN",6228,522,15286,22036
"2000","INDIANA","NEWTON",2101,159,3250,5510
"2000","INDIANA","NOBLE",4822,291,9103,14216
"2000","INDIANA","OHIO",951,26,1515,2492
"2000","INDIANA","ORANGE",2601,170,4687,7458
"2000","INDIANA","OWEN",2253,231,4019,6503
"2000","INDIANA","PARKE",2481,125,3841,6447
"2000","INDIANA","PERRY",3823,103,3461,7387
"2000","INDIANA","PIKE",2605,131,3566,6302
"2000","INDIANA","PORTER",26790,1431,31157,59378
"2000","INDIANA","POSEY",4430,182,6498,11110
"2000","INDIANA","PULASKI",1919,102,3497,5518
"2000","INDIANA","PUTNAM",4123,396,7352,11871
"2000","INDIANA","RANDOLPH",3906,206,6020,10132
"2000","INDIANA","RIPLEY",3498,189,6988,10675
"2000","INDIANA","RUSH",2370,165,4749,7284
"2000","INDIANA","SCOTT",3915,170,3761,7846
"2000","INDIANA","SHELBY",5374,346,9590,15310
"2000","INDIANA","SPENCER",3752,139,5096,8987
"2000","INDIANA","ST. JOSEPH",47703,2190,47581,97474
"2000","INDIANA","STARKE",4136,216,4349,8701
"2000","INDIANA","STEUBEN",4103,221,6953,11277
"2000","INDIANA","SULLIVAN",3833,110,4319,8262
"2000","INDIANA","SWITZERLAND",1336,72,1831,3239
"2000","INDIANA","TIPPECANOE",18220,1969,26106,46295
"2000","INDIANA","TIPTON",2392,140,4784,7316
"2000","INDIANA","UNION",927,63,1838,2828
"2000","INDIANA","VANDERBURGH",29222,1153,35846,66221
"2000","INDIANA","VERMILLION",3370,133,3130,6633
"2000","INDIANA","VIGO",17570,637,18021,36228
"2000","INDIANA","WABASH",4277,285,8321,12883
"2000","INDIANA","WARREN",1471,79,2218,3768
"2000","INDIANA","WARRICK",8749,355,13205,22309
"2000","INDIANA","WASHINGTON",3675,258,5868,9801
"2000","INDIANA","WAYNE",10273,605,14273,25151
"2000","INDIANA","WELLS",3319,207,7755,11281
"2000","INDIANA","WHITE",3655,212,6037,9904
"2000","INDIANA","WHITLEY",4107,245,8080,12432
"2000","IOWA","ADAIR",1753,95,2275,4123
"2000","IOWA","ADAMS",897,78,1170,2145
"2000","IOWA","ALLAMAKEE",2883,302,3277,6462
"2000","IOWA","APPANOOSE",2560,152,2992,5704
"2000","IOWA","AUDUBON",1780,95,1909,3784
"2000","IOWA","BENTON",5915,383,5468,11766
"2000","IOWA","BLACK HAWK",30112,1505,23468,55085
"2000","IOWA","BOONE",6270,354,5625,12249
"2000","IOWA","BREMER",5169,331,5675,11175
"2000","IOWA","BUCHANAN",5045,273,4092,9410
"2000","IOWA","BUENA VISTA",3297,326,4354,7977
"2000","IOWA","BUTLER",2735,152,3837,6724
"2000","IOWA","CALHOUN",2132,133,2776,5041
"2000","IOWA","CARROLL",4463,226,4879,9568
"2000","IOWA","CASS",2481,193,4206,6880
"2000","IOWA","CEDAR",4033,280,4031,8344
"2000","IOWA","CERRO GORDO",12185,580,9397,22162
"2000","IOWA","CHEROKEE",2845,284,3463,6592
"2000","IOWA","CHICKASAW",3435,213,2936,6584
"2000","IOWA","CLARKE",2081,111,1984,4176
"2000","IOWA","CLAY",3294,292,3992,7578
"2000","IOWA","CLAYTON",4238,299,4034,8571
"2000","IOWA","CLINTON",12276,675,9229,22180
"2000","IOWA","CRAWFORD",2838,235,3482,6555
"2000","IOWA","DALLAS",8561,463,10306,19330
"2000","IOWA","DAVIS",1691,111,1956,3758
"2000","IOWA","DECATUR",1674,132,1903,3709
"2000","IOWA","DELAWARE",3808,268,4273,8349
"2000","IOWA","DES MOINES",11351,629,7385,19365
"2000","IOWA","DICKINSON",3660,236,4225,8121
"2000","IOWA","DUBUQUE",22341,1520,16462,40323
"2000","IOWA","EMMET",2165,134,2331,4630
"2000","IOWA","FAYETTE",4640,234,4747,9621
"2000","IOWA","FLOYD",3830,217,3191,7238
"2000","IOWA","FRANKLIN",2122,159,2657,4938
"2000","IOWA","FREMONT",1459,88,2069,3616
"2000","IOWA","GREENE",2301,136,2282,4719
"2000","IOWA","GRUNDY",2139,121,3851,6111
"2000","IOWA","GUTHRIE",2493,136,2840,5469
"2000","IOWA","HAMILTON",3407,199,3968,7574
"2000","IOWA","HANCOCK",2281,169,2988,5438
"2000","IOWA","HARDIN",3734,215,4486,8435
"2000","IOWA","HARRISON",2551,190,3802,6543
"2000","IOWA","HENRY",3907,288,4476,8671
"2000","IOWA","HOWARD",2426,143,1922,4491
"2000","IOWA","HUMBOLDT",1949,145,2846,4940
"2000","IOWA","IDA",1411,112,1968,3491
"2000","IOWA","IOWA",3230,289,3894,7413
"2000","IOWA","JACKSON",4945,318,3769,9032
"2000","IOWA","JASPER",8699,407,8729,17835
"2000","IOWA","JEFFERSON",2863,1437,3248,7548
"2000","IOWA","JOHNSON",31174,3696,17899,52769
"2000","IOWA","JONES",4690,252,4201,9143
"2000","IOWA","KEOKUK",2181,195,2571,4947
"2000","IOWA","KOSSUTH",3960,306,4612,8878
"2000","IOWA","LEE",9632,601,6339,16572
"2000","IOWA","LINN",48897,2750,40417,92064
"2000","IOWA","LOUISA",2294,136,2207,4637
"2000","IOWA","LUCAS",1934,107,2262,4303
"2000","IOWA","LYON",1313,111,3918,5342
"2000","IOWA","MADISON",3093,214,3662,6969
"2000","IOWA","MAHASKA",3370,202,5971,9543
"2000","IOWA","MARION",5741,309,8358,14408
"2000","IOWA","MARSHALL",8322,517,8785,17624
"2000","IOWA","MILLS",2039,192,3684,5915
"2000","IOWA","MITCHELL",2650,124,2388,5162
"2000","IOWA","MONONA",2086,170,2304,4560
"2000","IOWA","MONROE",1699,90,1858,3647
"2000","IOWA","MONTGOMERY",1838,139,3417,5394
"2000","IOWA","MUSCATINE",8058,535,7483,16076
"2000","IOWA","O'BRIEN",2170,200,4674,7044
"2000","IOWA","OSCEOLA",913,86,2064,3063
"2000","IOWA","PAGE",2293,178,4588,7059
"2000","IOWA","PALO ALTO",2326,156,2341,4823
"2000","IOWA","PLYMOUTH",3499,430,6189,10118
"2000","IOWA","POCAHONTAS",1736,163,2242,4141
"2000","IOWA","POLK",89715,4525,79927,174167
"2000","IOWA","POTTAWATTAMIE",14726,958,18783,34467
"2000","IOWA","POWESHIEK",4222,362,4396,8980
"2000","IOWA","RINGGOLD",1246,77,1369,2692
"2000","IOWA","SAC",2099,158,2776,5033
"2000","IOWA","SCOTT",35857,1910,32801,70568
"2000","IOWA","SHELBY",2179,175,3655,6009
"2000","IOWA","SIOUX",2148,303,12241,14692
"2000","IOWA","STORY",17478,1658,16228,35364
"2000","IOWA","TAMA",4045,236,4034,8315
"2000","IOWA","TAYLOR",1247,79,1770,3096
"2000","IOWA","UNION",2540,197,3003,5740
"2000","IOWA","VAN BUREN",1440,105,2016,3561
"2000","IOWA","WAPELLO",8355,471,6313,15139
"2000","IOWA","WARREN",9521,511,9621,19653
"2000","IOWA","WASHINGTON",3932,335,4827,9094
"2000","IOWA","WAYNE",1300,55,1666,3021
"2000","IOWA","WEBSTER",8479,397,8172,17048
"2000","IOWA","WINNEBAGO",2691,174,2662,5527
"2000","IOWA","WINNESHIEK",4339,431,4647,9417
"2000","IOWA","WOODBURY",17691,1341,18864,37896
"2000","IOWA","WORTH",2208,137,1659,4004
"2000","IOWA","WRIGHT",2796,156,3384,6336
"2000","KANSAS","ALLEN",2132,255,3379,5766
"2000","KANSAS","ANDERSON",1327,167,1984,3478
"2000","KANSAS","ATCHISON",3171,351,3378,6900
"2000","KANSAS","BARBER",637,106,1755,2498
"2000","KANSAS","BARTON",3238,415,7302,10955
"2000","KANSAS","BOURBON",2211,245,3852,6308
"2000","KANSAS","BROWN",1512,194,2985,4691
"2000","KANSAS","BUTLER",6755,870,13377,21002
"2000","KANSAS","CHASE",391,78,848,1317
"2000","KANSAS","CHAUTAUQUA",443,90,1347,1880
"2000","KANSAS","CHEROKEE",3783,333,5014,9130
"2000","KANSAS","CHEYENNE",350,65,1312,1727
"2000","KANSAS","CLARK",292,43,926,1261
"2000","KANSAS","CLAY",951,139,2998,4088
"2000","KANSAS","CLOUD",1314,271,2918,4503
"2000","KANSAS","COFFEY",1196,144,2700,4040
"2000","KANSAS","COMANCHE",211,35,760,1006
"2000","KANSAS","COWLEY",5535,595,8080,14210
"2000","KANSAS","CRAWFORD",7076,798,7160,15034
"2000","KANSAS","DECATUR",424,80,1255,1759
"2000","KANSAS","DICKINSON",2413,436,5243,8092
"2000","KANSAS","DONIPHAN",1134,165,2350,3649
"2000","KANSAS","DOUGLAS",18249,4527,17062,39838
"2000","KANSAS","EDWARDS",447,54,1062,1563
"2000","KANSAS","ELK",402,68,1080,1550
"2000","KANSAS","ELLIS",3926,718,6516,11160
"2000","KANSAS","ELLSWORTH",825,169,1845,2839
"2000","KANSAS","FINNEY",2431,277,6442,9150
"2000","KANSAS","FORD",2566,301,6050,8917
"2000","KANSAS","FRANKLIN",3321,412,5925,9658
"2000","KANSAS","GEARY",2660,229,3977,6866
"2000","KANSAS","GOVE",296,77,1122,1495
"2000","KANSAS","GRAHAM",346,70,1058,1474
"2000","KANSAS","GRANT",683,47,2126,2856
"2000","KANSAS","GRAY",482,47,1631,2160
"2000","KANSAS","GREELEY",143,32,628,803
"2000","KANSAS","GREENWOOD",1027,142,2392,3561
"2000","KANSAS","HAMILTON",264,27,901,1192
"2000","KANSAS","HARPER",869,110,2076,3055
