"year","state","county","D","O","R","total"
"2008","MISSOURI","CAMDEN",7773,286,14074,22133
"2008","MISSOURI","CAPE GIRARDEAU",12208,379,24768,37355
"2008","MISSOURI","CARROLL",1535,48,2955,4538
"2008","MISSOURI","CARTER",984,74,1840,2898
"2008","MISSOURI","CASS",19844,640,29695,50179
"2008","MISSOURI","CEDAR",2060,100,4194,6354
"2008","MISSOURI","CHARITON",1799,76,2339,4214
"2008","MISSOURI","CHRISTIAN",11883,432,25382,37697
"2008","MISSOURI","CLARK",1572,102,1782,3456
"2008","MISSOURI","CLAY",53761,1329,54516,109606
"2008","MISSOURI","CLINTON",4545,200,5709,10454
"2008","MISSOURI","COLE",13959,401,24385,38745
"2008","MISSOURI","COOPER",2996,128,4902,8026
"2008","MISSOURI","CRAWFORD",3911,167,6007,10085
"2008","MISSOURI","DADE",1184,64,2864,4112
"2008","MISSOURI","DALLAS",2656,132,4895,7683
"2008","MISSOURI","DAVIESS",1400,123,2263,3786
"2008","MISSOURI","DEKALB",1692,102,2889,4683
"2008","MISSOURI","DENT",2056,157,4655,6868
"2008","MISSOURI","DOUGLAS",2140,167,4405,6712
"2008","MISSOURI","DUNKLIN",4540,180,7044,11764
"2008","MISSOURI","FRANKLIN",21256,682,27355,49293
"2008","MISSOURI","GASCONADE",2899,109,4763,7771
"2008","MISSOURI","GENTRY",1235,93,1964,3292
"2008","MISSOURI","GREENE",56181,1831,77683,135695
"2008","MISSOURI","GRUNDY",1580,154,3006,4740
"2008","MISSOURI","HARRISON",1287,116,2512,3915
"2008","MISSOURI","HENRY",4869,195,6095,11159
"2008","MISSOURI","HICKORY",2171,94,2850,5115
"2008","MISSOURI","HOLT",802,37,1794,2633
"2008","MISSOURI","HOWARD",2036,111,2708,4855
"2008","MISSOURI","HOWELL",5736,311,10982,17029
"2008","MISSOURI","IRON",2213,111,2090,4414
"2008","MISSOURI","JACKSON",90722,2492,92833,186047
"2008","MISSOURI","JASPER",15730,628,31667,48025
"2008","MISSOURI","JEFFERSON",53467,1433,50804,105704
"2008","MISSOURI","JOHNSON",9480,417,12183,22080
"2008","MISSOURI","KANSAS CITY",120102,1263,31854,153219
"2008","MISSOURI","KNOX",759,53,1212,2024
"2008","MISSOURI","LACLEDE",5218,230,10875,16323
"2008","MISSOURI","LAFAYETTE",6902,256,9442,16600
"2008","MISSOURI","LAWRENCE",5097,277,11263,16637
"2008","MISSOURI","LEWIS",1837,71,2594,4502
"2008","MISSOURI","LINCOLN",10234,392,12924,23550
"2008","MISSOURI","LINN",2638,153,3140,5931
"2008","MISSOURI","LIVINGSTON",2435,124,3993,6552
"2008","MISSOURI","MACON",2784,104,4586,7474
"2008","MISSOURI","MADISON",2042,89,2897,5028
"2008","MISSOURI","MARIES",1599,96,2853,4548
"2008","MISSOURI","MARION",4703,145,7705,12553
"2008","MISSOURI","MCDONALD",2454,182,5499,8135
"2008","MISSOURI","MERCER",519,60,1169,1748
"2008","MISSOURI","MILLER",3553,185,7797,11535
"2008","MISSOURI","MISSISSIPPI",2247,75,3034,5356
"2008","MISSOURI","MONITEAU",2084,114,4467,6665
"2008","MISSOURI","MONROE",1703,78,2533,4314
"2008","MISSOURI","MONTGOMERY",2347,81,3428,5856
"2008","MISSOURI","MORGAN",3565,133,5451,9149
"2008","MISSOURI","NEW MADRID",3370,129,4593,8092
"2008","MISSOURI","NEWTON",7450,319,17637,25406
"2008","MISSOURI","NODAWAY",4493,158,5568,10219
"2008","MISSOURI","OREGON",1811,128,2652,4591
"2008","MISSOURI","OSAGE",1907,110,5062,7079
"2008","MISSOURI","OZARK",1661,107,2918,4686
"2008","MISSOURI","PEMISCOT",3029,64,3954,7047
"2008","MISSOURI","PERRY",3005,115,5527,8647
"2008","MISSOURI","PETTIS",6932,258,11018,18208
"2008","MISSOURI","PHELPS",7394,338,11706,19438
"2008","MISSOURI","PIKE",3487,126,4268,7881
"2008","MISSOURI","PLATTE",21459,561,24460,46480
"2008","MISSOURI","POLK",4553,188,8956,13697
"2008","MISSOURI","PULASKI",5249,199,9552,15000
"2008","MISSOURI","PUTNAM",695,53,1591,2339
"2008","MISSOURI","RALLS",2041,56,2987,5084
"2008","MISSOURI","RANDOLPH",3984,183,6457,10624
"2008","MISSOURI","RAY",5241,219,5593,11053
"2008","MISSOURI","REYNOLDS",1418,87,1782,3287
"2008","MISSOURI","RIPLEY",1795,161,3407,5363
"2008","MISSOURI","SALINE",4712,174,4962,9848
"2008","MISSOURI","SCHUYLER",775,69,1139,1983
"2008","MISSOURI","SCOTLAND",793,56,1249,2098
"2008","MISSOURI","SCOTT",6258,205,11563,18026
